,C++,Android,Back-end,Data Science,Java,Front-end,C#,iOS
2008,7422.0,1059.0,5518.0,2565.0,3033.0,2393.0,8469.0,697.0
2009,34168.0,7454.0,32191.0,15909.0,16413.0,19646.0,45473.0,9899.0
2010,61521.0,24672.0,63783.0,32839.0,35385.0,49285.0,72883.0,29639.0
2011,90225.0,58034.0,101005.0,53543.0,61537.0,100797.0,100981.0,58712.0
2012,115994.0,79515.0,133720.0,78353.0,85614.0,148036.0,108372.0,69505.0
2013,132134.0,82765.0,148289.0,107619.0,92356.0,188534.0,106722.0,56924.0
2014,128674.0,79421.0,145009.0,121192.0,94643.0,197697.0,90182.0,55243.0
2015,121701.0,75245.0,131758.0,131936.0,92155.0,196783.0,77424.0,56669.0
2016,113752.0,72926.0,123571.0,139093.0,85460.0,199081.0,72838.0,44700.0
2017,101127.0,65136.0,110271.0,153145.0,76122.0,188699.0,62065.0,33251.0
2018,80674.0,51551.0,83331.0,138297.0,57304.0,142957.0,44797.0,20794.0
